state,latitude,longitude
Connecticut,42.0248,-71.7984
Connecticut,41.6832,-71.7874
Connecticut,41.4165,-71.7984
Connecticut,41.3892,-71.8341
Connecticut,41.3273,-71.8526
Connecticut,41.3309,-71.8938
Connecticut,41.3103,-71.9302
Connecticut,41.2907,-72.0195
Connecticut,41.2618,-72.0827
Connecticut,41.1962,-72.4322
Connecticut,41.0866,-73.0007
Connecticut,41.0255,-73.2493
Connecticut,40.9509,-73.6132
Connecticut,40.983,-73.6606
Connecticut,41.0338,-73.6723
Connecticut,41.1011,-73.7272
Connecticut,41.2153,-73.4834
Connecticut,41.2953,-73.5507
Connecticut,41.4906,-73.5329
Connecticut,42.0493,-73.4875
Delaware,39.7188,-75.7919
Delaware,39.521,-75.7837
Delaware,38.9081,-75.7288
Delaware,38.5911,-75.7068
Delaware,38.46,-75.6944
Delaware,38.4482,-74.8608
Delaware,38.8654,-74.8526
Delaware,38.8451,-75.0504
Delaware,39.0565,-75.1678
Delaware,39.2525,-75.3236
Delaware,39.3662,-75.461
Delaware,39.4542,-75.5592
Delaware,39.4908,-75.5578
Delaware,39.5713,-75.5118
Delaware,39.6284,-75.5557
Delaware,39.8106,-75.3937
Delaware,39.8249,-75.4692
Delaware,39.8296,-75.6477
Delaware,39.7199,-75.7906
Florida,30.9988,-87.605
Florida,30.9964,-86.5613
Florida,31.0035,-85.5313
Florida,31.0012,-85.1193
Florida,31.0023,-85.0012
Florida,30.9364,-84.9847
Florida,30.8845,-84.9367
Florida,30.8409,-84.9271
Florida,30.7902,-84.9257
Florida,30.7489,-84.9147
Florida,30.6993,-84.8611
Florida,30.6911,-84.4272
Florida,30.6509,-83.5991
Florida,30.5895,-82.5595
Florida,30.5682,-82.2134
Florida,30.5315,-82.2134
Florida,30.3883,-82.1997
Florida,30.3598,-82.1544
Florida,30.3598,-82.0638
Florida,30.4877,-82.0226
Florida,30.6308,-82.0473
Florida,30.6757,-82.0514
Florida,30.7111,-82.0377
Florida,30.7371,-82.0514
Florida,30.7678,-82.0102
Florida,30.7914,-82.0322
Florida,30.7997,-81.9717
Florida,30.8244,-81.9608
Florida,30.8056,-81.8893
Florida,30.7914,-81.8372
Florida,30.7796,-81.796
Florida,30.7536,-81.6696
Florida,30.7289,-81.6051
Florida,30.7324,-81.5666
Florida,30.7229,-81.5295
Florida,30.7253,-81.4856
Florida,30.7111,-81.4609
